Reporting Library Service,Name,Address 1,Address 2,Address 3,Upper Tier Local Authority,Postcode,Type,Year Permanently Closed,Year First Opened
Calderdale,Bailiff Bridge,Devon Way,Brighouse,West Yorkshire,Calderdale,HD6 4DT,Static Library,2019,
Calderdale,Walsden Library,Inchfield Road,Walsden,West Yorkshire,Calderdale,OL14 7SN,Static Library,2019,
Cornwall,Fowey Library & Information Service,"Caffa Mill House, 2 Passage Lane",Fowey,Cornwall,Cornwall,PL23 1JS,Mobile Library,2019,
Cornwall,Goldsithney Micro,"The Crown, Fore Street",Penzance,Cornwall,Cornwall,TR20 9LG,Static Library,2019,
Cornwall,Lerryn Micro,"The Ship Inn, Fore Street",Nr Lostwithiel,Cornwall,Cornwall,PL22 0PT,Static Library,2019,
Cornwall,Padstow Library,Hill Street,Padstow,Cornwall,Cornwall,PL28 8EB,Mobile Library,2019,
Cornwall,Porkellis Micro,"The Star, Porkellis",Helston,Cornwall,Cornwall,TR13 0JR,Static Library,2019,
Cumberland,Boltongate Book Drop,The Bell Institute,Wigton,Cumbria,Cumberland,CA7 1DA,Static Library,2019,
Cumberland,Burgh by Sands Book Drop,Burgh by Sands Village Hall,Carlisle ,Cumbria,Cumberland,CA5 6BD,Static Library,2019,
Cumberland,Thursby Book Drop,Thursby Parish Hall,Carlisle,Cumbria,Cumberland,CA5 6PQ,Static Library,2019,
Dudley,Pensnett Library Link,"High Oak Surgery, 120 High Street",Pensnett,West Midlands,Dudley,DY5 4DS,Static Library,2019,
Nottingham,Wells Road library,"Wells Road Centre, The Wells Road",Nottingham,Nottinghamshire,Nottingham,NG3 3AA,Static Library,2019,
Plymouth,West Park Library,423 - 425 Crownhill Road,Plymouth,Devon,Plymouth,PL5 2LJ,Static Library,2019,
Richmond Upon Thames,Heathfield Library Access Point,"Whitton Community Centre, Percy Road",Whitton,Middlesex,Richmond Upon Thames,TW2 6JL,Static Library,2019,2011
Somerset,Highbridge,"Alpha House, Market Street",Highbridge,Somerset,Somerset,TA9 3BP,Static Library,2019,
Somerset,Sunningdale,"Monmouth Hall, Monmouth Road",Yeovil,Somerset,Somerset,BA21 5NP,Static Library,2019,
Stoke-on-Trent,Blurton Hub (Book Collection),"Ingestre Square, Finstock Avenue",Stoke-on-Trent,Staffordshire ,Stoke-on-Trent,ST3 3JT,Static Library,2019,
City of London,Small Business Research + Enterprise Centre,Aldermanbury,London,Greater London,City of London,EC2V 7HH,Static Library,2020,
Gateshead,Ryton,"Ryton Methodist Church, Grange Road", Ryton,Tyne and Wear,Gateshead,NE40 3LT,Static Library,2020,
Hampshire,Blackfield,167 Hampton Parade,Southampton,Hampshire,Hampshire,SO45 1XA,Static Library,2020,
Hampshire,Horndean,12 Fiveheads Road,Horndean,Hampshire,Hampshire,PO8 9NW,Static Library,2020,
Harrow,Gayton,5 St. John's Road,Harrow,Greater London ,Harrow,HA1 2EE,Static Library,2020,
North Northamptonshire,Higham Ferrers,Midland Road,Higham Ferrers,Northamptonshire,North Northamptonshire,NN10 8DN,Static Library,2020,
Sandwell,Beeches Express,160 Beeches Road,West Bromwich,West Midlands,Sandwell,B70 6HQ,Static Library,2020,
Sandwell,Bright Futures Express, Huntingdon Road,West Bromwich,West Midlands,Sandwell,B71 2RP,Static Library,2020,
Sandwell,Galton Valley Express,Great Arthur Street,Smethwick,West Midlands,Sandwell,B66 1DH,Static Library,2020,
Sandwell,Priory Express,"Priory Children's Centre, Dorsett Road ",Wednesbury,West Midlands,Sandwell,WS10 0JJ,Static Library,2020,
Sandwell,Valley Road Express,78 Valley Road,Cradley Heath,West Midlands,Sandwell,B64 7LR,Static Library,2020,2016
Suffolk,West Suffolk House (Library Point),"West Suffolk House, Western Way ",Bury St. Edmunds,Suffolk,Suffolk,IP33 3YU,Static Library,2020,
Swindon,Covingham Library,"St. Paul's Drive, Covingham",Swindon,Wiltshire,Swindon,SN3 5BY,Static Library,2020,1971
Westmorland and Furness,Bolton Book Drop,Bolton Memorial Hall,Appleby-in-Westmorland,Cumbria,Westmorland and Furness,CA16 6AX,Static Library,2020,
Westmorland and Furness,Tebay Book Drop,"St. James Church, Church Street",Tebay,Cumbria,Westmorland and Furness,CA10 3UY,Static Library,2020,
Calderdale,Greetland,Rochdale Road,Halifax,West Yorkshire,Calderdale,HX4 8JE,Static Library,2021,
Calderdale,Hipperholme,"Council Offices, Leeds Road",Halifax,West Yorkshire,Calderdale,HX3 8ND,Static Library,2021,
Calderdale,Mytholmroyd,Cragg Road,Hebden Bridge,West Yorkshire,Calderdale,HX7 5HR,Static Library,2021,
Calderdale,Ripponden,"Brig Royd, Halifax Road",Sowerby Bridge,West Yorkshire,Calderdale,HX6 4AW,Static Library,2021,
Calderdale,Shelf,"Shelf Village Hall, Halifax Road",Halifax,West Yorkshire,Calderdale,HX3 7NT,Static Library,2021,
Calderdale,Skircoat,Skircoat Green Road,Halifax,West Yorkshire,Calderdale,HX3 0LQ,Static Library,2021,
Calderdale,Southowram,Law Lane,Halifax,West Yorkshire,Calderdale,HX3 9QU,Static Library,2021,
Calderdale,Stainland,Stainland Road,Halifax,West Yorkshire,Calderdale,HX4 9AF,Static Library,2021,
Cumberland,Moorclose Library,Needham Drive,Workington,Cumbria,Cumberland,CA14 3SE,Static Library,2021,
Lancashire,Clayton-le-Moors,Pickup St,Accrington,Lancashire ,Lancashire,BB5 5NR,Static Library,2021,
North Somerset,Oldmixon Library Access Point,"Oldmixon Family Centre, Monkton Avenue",Weston-super-Mare,Somerset,North Somerset,BS24 9DA,Static Library,2021,2017
Sunderland,Hetton Centre,Welfare Road,Hetton,Tyne and Wear,Sunderland,DH5 9NE,Static Library,2021,
West Northamptonshire,Far Cotton,"The REC Centre, Towcester Road",Northampton,Northamptonshire,West Northamptonshire,NN4 8LG,Static Library,2021,
Windsor and Maidenhead,Eton,High Street,Eton,Berkshire,Windsor and Maidenhead,SL4 6AR,Static Library,2021,
Windsor and Maidenhead,Furze Platt Container,Shifford Cres ,Maidenhead SL6 7UA,Berkshire,Windsor and Maidenhead,SL6 7UA,Static Library,2021,
Windsor and Maidenhead,Holyport Container,Stroud Farm Rd,Holyport,Berkshire,Windsor and Maidenhead, SL6 2LH,Static Library,2021,
Windsor and Maidenhead,Woodlands Park Container,Manifold Way,White Waltham,Berkshire,Windsor and Maidenhead,SL6 3GW,Static Library,2021,
Bradford,Wrose Book Exchange,75 Wrose Road,Shipley,West Yorkshire,Bradford,BD18 1HX,Static Library,2022,
Cumberland,Cotehill Book Drop,"Cotehill Village Hall, Front Street",Carlisle,Cumbria,Cumberland,CA4 0EA,Static Library,2022,2017
Cumberland,Dalston Library Link,"St. Michael's Church, 1 The Square",Dalston ,Cumbria,Westmorland and Furness,CA5 7PJ,Static Library,2022,
Cumberland,Hallbankgate Library Link,Hallbankgate Hub Community Shop and Café,Brampton,Cumbria,Cumberland,CA8 2NJ,Static Library,2022,2017
Cumberland,Nicholforest Book Drop,"Nicholforest Village Hall, Warwicksland, Penton",Carlisle,Cumbria,Cumberland,CA6 5QD,Static Library,2022,
Cumberland,West Cumberland Hospital Book Drop,West Cumberland Hospital,Homewood Road,Whitehaven,Cumberland,CA28 8JG,Static Library,2022,
Hammersmith and Fulham,Hurlingham & Chelsea School & Community Library,Peterborough Road,London,Greater London,Hammersmith and Fulham,SW6 3ED,Static Library,2022,
Oxfordshire,Huntercombe Prison,Nuffield,Henley-on-Thames,Oxfordshire,Oxfordshire,RG9 5SB,Prison Library,2022,
Redbridge,Clayhall Library,1 Claybury Broadway,Ilford,Greater London,Redbridge,IG5 0LQ,Static Library,2022,
Surrey,Beare Green Community Link,Beare Green Village Hall,Merebank Dorking,Surrey,Surrey,RH5 4RD,Static Library,2022,2013
Swindon,Grange Community Book Collection,"Grange Leisure Centre, Grange Drive ",Swindon,Wiltshire,Swindon,SN3 4JY,Static Library,2022,
Warwickshire,Camp Hill Community Library,"New Community Centre, Cedar Road",Nuneaton,Warwickshire,Warwickshire,CV10 9EB,Static Library,2022,
Wirral,Bromborough,Allport Lane,Bromborough,Merseyside,Wirral,CH62 7HR,Static Library,2022,
Wirral,Higher Bebington,Higher Bebington Road,Higher Bebington,Merseyside,Wirral,CH63 2PT,Static Library,2022,
Wirral,Hoylake,Market Street,Hoylake,Merseyside,Wirral,CH47 5AA,Static Library,2022,
Wirral,New Ferry,Grove Street Primary School,New Ferry,Merseyside,Wirral,CH62 5BA,Static Library,2022,
Wirral,Prenton,15-19 Dickens Avenue,Prenton,Merseyside,Wirral,CH43 0TQ,Static Library,2022,
Wirral,Woodchurch,"Ganneys Meadow EYC, New Hey Road",Birkenhead,Merseyside,Wirral,CH49 8HB,Static Library,2022,
Brighton and Hove,Mile Oak Library,"Portslade Academy, Chalky Road ",Portslade,East Sussex,Brighton and Hove,BN41 2WS,Static Library,2023,2013
Hartlepool,Mobile Community Hub,Middlegate ,Hartlepool ,,Hartlepool,TS24 0JD,Mobile Library,2023,
Hillingdon,Harlington Library,Pinkwell Lane,Hayes,Middlesex,Hillingdon,UB3 1PB,Static Library,2023,
Norfolk,Mobile Library AE10 BTF,"Libraries HQ, Whitegates, Norwich Road",Hethersett,Norfolk,Norfolk,NR9 3DN,Mobile Library,2023,
Norfolk,Mobile Library AV10 GJK,"Libraries HQ, Whitegates, Norwich Road",Hethersett,Norfolk,Norfolk,NR9 3DN,Mobile Library,2023,
North Lincolnshire,Park Library,Avenue Vivian,Scunthorpe,North Lincolnshire,North Lincolnshire,DN15 8LG,Static Library,2023,1966
Northumberland,Hirst Library,"Hirst Welfare Centre, Alexandra Road",Ashington,Northumberland,Northumberland,NE63 9RX,Static Library,2023,
Slough,Chalvey Satellite Library,"Chalvey Community Centre, The Green",Slough,Berkshire,Slough,SL1 2SP,Static Library,2023,2011
Slough,Colnbrook Satellite Library,Vicarage Way Childrens Centre,Slough,Berkshire,Slough,SL3 0JY,Static Library,2023,2011
Slough,Wexham Satellite Library,Wexham Road ,Slough,Berkshire,Slough,SL2 5JW,Static Library,2023,2012
Southwark,East Street Library,168-170 Old Kent Road,Southwark,Surrey,Southwark,SE1  5TY,Static Library,2023,1967
Southwark,Kingswood Order and Collect Library,"Kingswood House, 31 Seeley Drive",Southwark,Surrey,Southwark,SE21 8QR,Static Library,2023,
Sunderland,Local History Library @ ETR,64 Fawcett St,Sunderland,Tyne and Wear,Sunderland,SR1 1BB,Static Local History Library,2023,2020
Surrey,Old Woking Community Link,"Old Woking Community Centre, Sundridge Road",Woking,Surrey,Surrey,GU22 9AT,Static Library,2023,2014
Westmorland and Furness,Holme Book Drop,"Holme Parish Hall, Duke Street",Holme,Cumbria,Westmorland and Furness,LA6 1PY,Static Library,2023,
St. Helens,Billinge Library,Main Street,Billinge,Merseyside,St. Helens,WN5 7HA,Static Library,2024,
St. Helens,Garswood Library,School Lane,Garswood,Merseyside,St. Helens,WN4 0TT,Static Library,2024,
St. Helens,Parr Library,Fleet Lane,Parr,Merseyside,St. Helens,WA9 1SY,Static Library,2024,
St. Helens,Peter Street Library,Peter Street,St. Helens,Merseyside,St. Helens,WA10 2EQ,Static Library,2024,
St. Helens,Rainhill Library,View Road,Rainhill,Merseyside,St. Helens,L35 0LE,Static Library,2024,
Stockport,Heritage,Wellington Road South,Stockport,Greater Manchester,Stockport,SK1 3RS,Static Local History Library,2024,
